"VariableName","Value","ValueLabel"
"STABBR (HD2016)","AL","Alabama"
"STABBR (HD2016)","AK","Alaska"
"STABBR (HD2016)","AZ","Arizona"
"STABBR (HD2016)","AR","Arkansas"
"STABBR (HD2016)","CA","California"
"STABBR (HD2016)","CO","Colorado"
"STABBR (HD2016)","CT","Connecticut"
"STABBR (HD2016)","DE","Delaware"
"STABBR (HD2016)","DC","District of Columbia"
"STABBR (HD2016)","FL","Florida"
"STABBR (HD2016)","GA","Georgia"
"STABBR (HD2016)","HI","Hawaii"
"STABBR (HD2016)","ID","Idaho"
"STABBR (HD2016)","IL","Illinois"
"STABBR (HD2016)","IN","Indiana"
"STABBR (HD2016)","IA","Iowa"
"STABBR (HD2016)","KS","Kansas"
"STABBR (HD2016)","KY","Kentucky"
"STABBR (HD2016)","LA","Louisiana"
"STABBR (HD2016)","ME","Maine"
"STABBR (HD2016)","MD","Maryland"
"STABBR (HD2016)","MA","Massachusetts"
"STABBR (HD2016)","MI","Michigan"
"STABBR (HD2016)","MN","Minnesota"
"STABBR (HD2016)","MS","Mississippi"
"STABBR (HD2016)","MO","Missouri"
"STABBR (HD2016)","MT","Montana"
"STABBR (HD2016)","NE","Nebraska"
"STABBR (HD2016)","NV","Nevada"
"STABBR (HD2016)","NH","New Hampshire"
"STABBR (HD2016)","NJ","New Jersey"
"STABBR (HD2016)","NM","New Mexico"
"STABBR (HD2016)","NY","New York"
"STABBR (HD2016)","NC","North Carolina"
"STABBR (HD2016)","ND","North Dakota"
"STABBR (HD2016)","OH","Ohio"
"STABBR (HD2016)","OK","Oklahoma"
"STABBR (HD2016)","OR","Oregon"
"STABBR (HD2016)","PA","Pennsylvania"
"STABBR (HD2016)","RI","Rhode Island"
"STABBR (HD2016)","SC","South Carolina"
"STABBR (HD2016)","SD","South Dakota"
"STABBR (HD2016)","TN","Tennessee"
"STABBR (HD2016)","TX","Texas"
"STABBR (HD2016)","UT","Utah"
"STABBR (HD2016)","VT","Vermont"
"STABBR (HD2016)","VA","Virginia"
"STABBR (HD2016)","WA","Washington"
"STABBR (HD2016)","WV","West Virginia"
"STABBR (HD2016)","WI","Wisconsin"
"STABBR (HD2016)","WY","Wyoming"
"CONTROL (HD2016)","1","Public"
"CONTROL (HD2016)","2","Private not-for-profit"
"CONTROL (HD2016)","3","Private for-profit"
